ID,color
EP19800200007,black
EP19820300452,black
EP19780300524,black
EP19820300365,black
EP19820300276,black
EP19790300443,black
EP19820305767,black
EP19820300303,black
EP19800302767,black
EP19790302672,black
EP19820200086,black
EP19810200323,black
EP19810200301,black
EP19820300229,black
EP19820300057,black
EP19780300230,black
EP19820300141,black
EP19820300113,black
EP19800302641,black
EP19820300116,red
EP19780100717,red
EP19820300089,black
EP19800303848,black
EP19820300087,black
EP19800303339,black
EP19820300407,black
EP19820300323,black
EP19820300334,black
EP19810300296,black
EP19820300345,black
EP19800301408,black
EP19820300391,red
EP19820301054,black
EP19820300970,black
EP19810303052,black
EP19810300278,black
EP19820300752,black
EP19820300398,black
EP19790301208,black
EP19820301170,red
EP19800303478,red
EP19820300987,black
EP19790302399,black
EP19820300862,black
EP19790300932,black
EP19820300706,black
EP19780300529,black
EP19820300468,black
EP19820301120,black
EP19820300996,black
EP19790301862,black
EP19820301279,black
EP19820301278,black
EP19820301204,black
EP19820301033,black
EP19810303256,black
EP19820300886,black
EP19790302424,black
EP19820300048,black
EP19810301260,black
EP19820300497,black
EP19820300946,black
EP19800200767,black
EP19820303507,black
EP19800303931,black
EP19820303422,black
EP19820303111,black
EP19800303379,black
EP19820303027,black
EP19810305206,black
EP19820303508,black
EP19820200899,black
EP19800200310,black
EP19820303656,black
EP19820303706,black
EP19810302219,black
EP19820303538,black
EP19790300250,black
EP19820303491,black
EP19810301889,black
EP19820303313,black
EP19810305836,black
EP19820303298,black
EP19800304027,black
EP19820303157,black
EP19820303058,black
EP19820200908,black
EP19790300585,black
EP19820302004,black
EP19810302710,black
EP19820302379,black
EP19820303867,black
EP19820303868,black
EP19820303855,black
EP19800300068,black
EP19820303778,black
EP19820303615,black
EP19820303859,black
EP19820303660,black
EP19820303911,black
EP19820303869,black
EP19820302968,black
EP19790302872,black
EP19820303891,black
EP19800300208,black
EP19820303864,black
EP19820303892,black
EP19820303893,black
EP19800300098,black
EP19820302030,black
EP19820302824,black
EP19810302709,black
EP19820302785,black
EP19820302786,black
EP19820302960,black
EP19790301521,black
EP19820302929,black
EP19800304407,black
EP19820302903,black
EP19820302829,black
EP19810302630,black
EP19820302799,black
EP19780300218,black
EP19820302416,black
EP19800302991,red
EP19820303004,black
EP19820302660,black
EP19810300896,black
EP19820302730,black
EP19820303030,black
EP19790105146,black
EP19820303311,black
EP19790300600,black
EP19820303310,black
EP19820303307,black
EP19820301199,black
EP19820302664,black
EP19820303209,black
EP19810304636,black
EP19820303163,black
EP19790302749,black
EP19820810259,black
EP19820302939,black
EP19810305210,black
EP19820303055,black
EP19820302075,black
EP19820303112,black
EP19820303057,black
EP19820302930,black
EP19820303056,black
EP19830305780,black
EP19820300716,black
EP19810304884,black
EP19810303344,black
EP19830306356,black
EP19830300627,black
EP19830305194,black
EP19830305006,black
EP19830305005,black
EP19830810446,black
EP19820810258,black
EP19820810255,black
EP19830306026,black
EP19810300476,black
EP19830305988,red
EP19800300514,red
EP19830300625,black
EP19830306312,black
EP19830300310,black
EP19830306280,black
EP19830301315,black
EP19830306236,black
EP19830306060,black
EP19830305976,black
EP19810306053,black
EP19830304317,black
EP19820306183,black
EP19830301983,black
EP19830306723,black
EP19830304483,black
EP19810306080,black
EP19830306388,black
EP19830306053,black
EP19830305474,black
EP19810303020,black
EP19830305438,black
EP19840301997,red
EP19830304507,black
EP19780101447,red
EP19830201573,black
EP19830200371,black
EP19830810458,black
EP19820810364,black
EP19830306349,black
EP19800300372,black
EP19830111621,red
EP19840308027,red
EP19830201625,black
EP19830306247,black
EP19820301793,black
EP19830306292,black
EP19830401914,black
EP19820400590,black
EP19830306080,black
EP19800304322,black
EP19830306003,black
EP19810305382,black
EP19830305990,black
EP19800302352,black
EP19830305977,black
EP19830306688,black
EP19830306665,black
EP19840307432,black
EP19830306432,black
EP19800303881,black
EP19830306408,black
EP19810300514,black
EP19830306128,black
EP19830300106,black
EP19830306121,black
EP19830305975,black
EP19830305904,black
EP19800303901,black
EP19830304569,black
EP19820300584,black
EP19830305154,black
EP19830304798,black
EP19810300412,black
EP19830304108,black
EP19830303899,black
EP19830201206,black
EP19800200103,black
EP19830304956,black
EP19820302359,black
EP19810305871,black
EP19830304780,black
EP19810302840,black
EP19830304723,black
EP19820300770,black
EP19830304181,black
EP19810303472,black
EP19830304691,black
EP19800303073,black
EP19830304384,black
EP19810302429,black
EP19830303980,black
EP19830302442,black
EP19830201229,black
EP19830201228,black
EP19830108102,black
EP19830304528,black
EP19820302599,black
EP19830304157,black
EP19800303089,black
EP19830304045,black
EP19800303705,black
EP19830304020,black
EP19830304022,black
EP19830306367,black
EP19810304198,black
EP19830304820,black
EP19830304173,black
EP19830304667,black
EP19830108010,black
EP19830305942,black
EP19830305907,black
EP19820301145,black
EP19830305807,black
EP19830305804,black
